Year,Revenue,Expenses,Operating_Profit,Other_Income,Depreciation,Interest,PBT,Net_Profit,EPS,EBITDA,Net_Profit_Margin,YoY_Revenue_Growth
FY2017,13260.83,12096.93,1163.9,-42.38,110.53,37.74,973.25,711.47,8.013854471727868,1274.43,5.37,
FY2018,16119.77,14475.57,1644.200000000003,69.93,131.43,52.92,1529.78,1130.09,12.72910565442667,1775.630000000003,7.01,21.56
FY2019,19778.52,17784.73,1993.790000000001,178.48,162.84,52.54,1956.89,1404.15,15.8160621761658,2156.630000000001,7.1,22.7
FY2020,21052.0,18589.0,2463.0,153.0,348.0,166.0,2102.0,1501.0,16.90696102725839,2811.0,7.13,6.44
FY2021,21644.0,19919.0,1725.0,180.0,375.0,203.0,1327.0,973.0,10.9596756026132,2100.0,4.5,2.81
FY2022,28799.0,25455.0,3344.0,177.0,399.0,218.0,2904.0,2173.0,24.47623338589773,3743.0,7.55,33.06
FY2023,40575.0,35693.0,4882.0,306.0,441.0,300.0,4447.0,3250.0,36.60734399639558,5323.0,8.01,40.89
FY2024,51084.0,45792.0,5292.0,534.0,584.0,619.0,4623.0,3496.0,39.37823834196891,5876.0,6.84,25.9
FY2025,60456.0,54762.0,5694.0,487.0,693.0,953.0,4535.0,3337.0,37.58729443568371,6387.0,5.52,18.35
FY2026,87584.0,79227.0,8357.0,450.0,826.0,1180.0,6801.0,5073.0,57.14124802883532,9183.0,5.79,44.87
