Narration,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,FY2026
Equity Share Capital,88.78,88.78,88.78,89.0,89.0,89.0,89.0,89.0,89.0,89.0
Reserves,4143.6,5001.1,5981.37,6580.0,7408.0,9214.0,11762.0,9304.0,11535.0,15614.0
Borrowings,1882.43,1691.01,2392.98,3562.0,5638.0,7275.0,9367.0,15528.0,20777.0,30621.0
Other Liabilities,2292.76,2740.15,3246.71,3313.0,3309.0,4610.0,5802.0,6626.0,8244.0,14237.0
Total_Liabilities_And_Equity,8407.57,9521.04,11709.84,13544.0,16444.0,21188.0,27020.0,31547.0,40645.0,60561.0
Net Block,1188.72,1473.81,1566.63,2633.0,2523.0,2544.0,2998.0,3709.0,4062.0,6878.0
Capital Work in Progress,152.07,43.37,31.77,18.0,32.0,85.0,144.0,97.0,105.0,163.0
Investments,430.73,35.99,108.42,158.0,2824.0,294.0,2515.0,2345.0,1988.0,3506.0
Other Assets,6636.05,7967.87,10003.02,10735.0,11065.0,18265.0,21363.0,25396.0,34490.0,50014.0
Total_Assets,8407.57,9521.04,11709.84,13544.0,16444.0,21188.0,27020.0,31547.0,40645.0,60561.0
Working Capital,4343.29,5227.719999999999,6756.31,7422.0,7756.0,13655.0,15561.0,18770.0,26246.0,35777.0
Debtors,207.6,295.69,420.45,312.0,366.0,565.0,674.0,1018.0,1068.0,916.0
Inventory,4925.74,5924.84,7038.82,8103.0,8408.0,13609.0,16584.0,19051.0,28184.0,42743.0
Debtor Days,5.714121966724556,6.695309548461299,7.75913718518878,5.409462283868516,6.172149325448161,7.160838918017987,6.06309303758472,7.27370605277582,6.447995236204843,3.817363902082572
Inventory Turnover,2.692149808962714,2.720709757563073,2.809919844519394,2.59805010489942,2.574215033301618,2.116173120728929,2.446635311143271,2.681434045456931,2.145046835083735,2.049084060547926
Return on Equity,0.1681016354864166,0.2220268454266112,0.231320478077148,0.2250712250712251,0.1297852474323063,0.2335805654090078,0.2742384608893764,0.3721920579154689,0.2870784583620096,0.3230592880341336
Return on Capital Emp,,0.2454616655164124,0.2636351828454699,0.2426430114693757,0.1309595138235042,0.2101437081412177,0.2511906021801249,0.2272264244998808,0.1914797111056837,0.202756430612893
